dataset,size,algo,threshold,trial,time_us
nearly,1500,ms+ins,50,1,37
nearly,1500,ms+ins,50,2,39
nearly,1500,ms+ins,50,3,48
random,2000,ms,0,1,210
random,2000,ms,0,2,182
random,2000,ms,0,3,179
random,2000,ms+ins,5,1,112
random,2000,ms+ins,5,2,105
random,2000,ms+ins,5,3,100
random,2000,ms+ins,10,1,102
random,2000,ms+ins,10,2,106
random,2000,ms+ins,10,3,109
random,2000,ms+ins,20,1,116
random,2000,ms+ins,20,2,114
random,2000,ms+ins,20,3,196
random,2000,ms+ins,30,1,158
random,2000,ms+ins,30,2,107
random,2000,ms+ins,30,3,106
random,2000,ms+ins,50,1,122
random,2000,ms+ins,50,2,108
random,2000,ms+ins,50,3,107
reverse,2000,ms,0,1,58
reverse,2000,ms,0,2,62
reverse,2000,ms,0,3,73
reverse,2000,ms+ins,5,1,41
reverse,2000,ms+ins,5,2,38
reverse,2000,ms+ins,5,3,38
reverse,2000,ms+ins,10,1,34
reverse,2000,ms+ins,10,2,28
reverse,2000,ms+ins,10,3,27
reverse,2000,ms+ins,20,1,46
reverse,2000,ms+ins,20,2,38
reverse,2000,ms+ins,20,3,34
reverse,2000,ms+ins,30,1,30
reverse,2000,ms+ins,30,2,30
reverse,2000,ms+ins,30,3,27
reverse,2000,ms+ins,50,1,57
reverse,2000,ms+ins,50,2,58
reverse,2000,ms+ins,50,3,57
nearly,2000,ms,0,1,81
nearly,2000,ms,0,2,82
nearly,2000,ms,0,3,79
nearly,2000,ms+ins,5,1,49
nearly,2000,ms+ins,5,2,43
nearly,2000,ms+ins,5,3,41
nearly,2000,ms+ins,10,1,35
nearly,2000,ms+ins,10,2,32
nearly,2000,ms+ins,10,3,31
nearly,2000,ms+ins,20,1,32
nearly,2000,ms+ins,20,2,29
nearly,2000,ms+ins,20,3,29
nearly,2000,ms+ins,30,1,28
nearly,2000,ms+ins,30,2,28
nearly,2000,ms+ins,30,3,28
nearly,2000,ms+ins,50,1,35
nearly,2000,ms+ins,50,2,32
nearly,2000,ms+ins,50,3,31
random,2500,ms,0,1,213
random,2500,ms,0,2,173
random,2500,ms,0,3,175
