dataset,size,algo,threshold,trial,time_us
reverse,7500,ms+ins,10,3,126
reverse,7500,ms+ins,20,1,171
reverse,7500,ms+ins,20,2,158
reverse,7500,ms+ins,20,3,152
reverse,7500,ms+ins,30,1,243
reverse,7500,ms+ins,30,2,248
reverse,7500,ms+ins,30,3,240
reverse,7500,ms+ins,50,1,233
reverse,7500,ms+ins,50,2,222
reverse,7500,ms+ins,50,3,194
nearly,7500,ms,0,1,293
nearly,7500,ms,0,2,285
nearly,7500,ms,0,3,296
nearly,7500,ms+ins,5,1,186
nearly,7500,ms+ins,5,2,168
nearly,7500,ms+ins,5,3,148
nearly,7500,ms+ins,10,1,123
nearly,7500,ms+ins,10,2,147
nearly,7500,ms+ins,10,3,147
nearly,7500,ms+ins,20,1,138
nearly,7500,ms+ins,20,2,128
nearly,7500,ms+ins,20,3,120
nearly,7500,ms+ins,30,1,138
nearly,7500,ms+ins,30,2,119
nearly,7500,ms+ins,30,3,121
nearly,7500,ms+ins,50,1,119
nearly,7500,ms+ins,50,2,108
nearly,7500,ms+ins,50,3,107
random,8000,ms,0,1,622
random,8000,ms,0,2,626
random,8000,ms,0,3,692
random,8000,ms+ins,5,1,583
random,8000,ms+ins,5,2,591
random,8000,ms+ins,5,3,508
random,8000,ms+ins,10,1,592
random,8000,ms+ins,10,2,518
random,8000,ms+ins,10,3,507
random,8000,ms+ins,20,1,454
random,8000,ms+ins,20,2,508
random,8000,ms+ins,20,3,468
random,8000,ms+ins,30,1,427
random,8000,ms+ins,30,2,468
random,8000,ms+ins,30,3,455
random,8000,ms+ins,50,1,508
random,8000,ms+ins,50,2,459
random,8000,ms+ins,50,3,503
reverse,8000,ms,0,1,277
reverse,8000,ms,0,2,280
reverse,8000,ms,0,3,285
reverse,8000,ms+ins,5,1,142
reverse,8000,ms+ins,5,2,152
reverse,8000,ms+ins,5,3,129
reverse,8000,ms+ins,10,1,118
reverse,8000,ms+ins,10,2,118
reverse,8000,ms+ins,10,3,135
reverse,8000,ms+ins,20,1,179
reverse,8000,ms+ins,20,2,175
reverse,8000,ms+ins,20,3,174
reverse,8000,ms+ins,30,1,166
reverse,8000,ms+ins,30,2,158
reverse,8000,ms+ins,30,3,152
reverse,8000,ms+ins,50,1,252
reverse,8000,ms+ins,50,2,245
reverse,8000,ms+ins,50,3,244
nearly,8000,ms,0,1,291
nearly,8000,ms,0,2,336
nearly,8000,ms,0,3,297
nearly,8000,ms+ins,5,1,177
nearly,8000,ms+ins,5,2,193
nearly,8000,ms+ins,5,3,178
nearly,8000,ms+ins,10,1,158
nearly,8000,ms+ins,10,2,166
nearly,8000,ms+ins,10,3,128
nearly,8000,ms+ins,20,1,125
nearly,8000,ms+ins,20,2,138
nearly,8000,ms+ins,20,3,124
nearly,8000,ms+ins,30,1,123
nearly,8000,ms+ins,30,2,122
nearly,8000,ms+ins,30,3,116
nearly,8000,ms+ins,50,1,122
nearly,8000,ms+ins,50,2,123
nearly,8000,ms+ins,50,3,168
random,8500,ms,0,1,641
random,8500,ms,0,2,622
random,8500,ms,0,3,663
random,8500,ms+ins,5,1,578
random,8500,ms+ins,5,2,551
random,8500,ms+ins,5,3,556
random,8500,ms+ins,10,1,489
random,8500,ms+ins,10,2,472
random,8500,ms+ins,10,3,440
random,8500,ms+ins,20,1,470
random,8500,ms+ins,20,2,464
random,8500,ms+ins,20,3,472
random,8500,ms+ins,30,1,464
random,8500,ms+ins,30,2,498
random,8500,ms+ins,30,3,513
random,8500,ms+ins,50,1,520
random,8500,ms+ins,50,2,530
random,8500,ms+ins,50,3,522
reverse,8500,ms,0,1,246
reverse,8500,ms,0,2,293
reverse,8500,ms,0,3,283
reverse,8500,ms+ins,5,1,152
reverse,8500,ms+ins,5,2,141
reverse,8500,ms+ins,5,3,143
reverse,8500,ms+ins,10,1,122
reverse,8500,ms+ins,10,2,125
reverse,8500,ms+ins,10,3,129
reverse,8500,ms+ins,20,1,208
reverse,8500,ms+ins,20,2,183
reverse,8500,ms+ins,20,3,179
reverse,8500,ms+ins,30,1,175
reverse,8500,ms+ins,30,2,179
reverse,8500,ms+ins,30,3,158
reverse,8500,ms+ins,50,1,287
reverse,8500,ms+ins,50,2,260
reverse,8500,ms+ins,50,3,267
nearly,8500,ms,0,1,375
nearly,8500,ms,0,2,362
nearly,8500,ms,0,3,347
nearly,8500,ms+ins,5,1,201
nearly,8500,ms+ins,5,2,206
nearly,8500,ms+ins,5,3,183
nearly,8500,ms+ins,10,1,143
nearly,8500,ms+ins,10,2,160
nearly,8500,ms+ins,10,3,157
nearly,8500,ms+ins,20,1,154
nearly,8500,ms+ins,20,2,150
nearly,8500,ms+ins,20,3,136
nearly,8500,ms+ins,30,1,117
nearly,8500,ms+ins,30,2,123
nearly,8500,ms+ins,30,3,197
nearly,8500,ms+ins,50,1,148
nearly,8500,ms+ins,50,2,145
nearly,8500,ms+ins,50,3,144
random,9000,ms,0,1,680
random,9000,ms,0,2,703
random,9000,ms,0,3,696
random,9000,ms+ins,5,1,590
random,9000,ms+ins,5,2,624
random,9000,ms+ins,5,3,559
random,9000,ms+ins,10,1,552
random,9000,ms+ins,10,2,510
random,9000,ms+ins,10,3,467
random,9000,ms+ins,20,1,539
random,9000,ms+ins,20,2,499
random,9000,ms+ins,20,3,563
random,9000,ms+ins,30,1,512
random,9000,ms+ins,30,2,599
random,9000,ms+ins,30,3,562
random,9000,ms+ins,50,1,608
random,9000,ms+ins,50,2,531
random,9000,ms+ins,50,3,564
reverse,9000,ms,0,1,334
reverse,9000,ms,0,2,317
reverse,9000,ms,0,3,300
reverse,9000,ms+ins,5,1,188
reverse,9000,ms+ins,5,2,177
reverse,9000,ms+ins,5,3,177
reverse,9000,ms+ins,10,1,158
reverse,9000,ms+ins,10,2,164
reverse,9000,ms+ins,10,3,178
reverse,9000,ms+ins,20,1,283
reverse,9000,ms+ins,20,2,233
reverse,9000,ms+ins,20,3,223
reverse,9000,ms+ins,30,1,209
reverse,9000,ms+ins,30,2,184
reverse,9000,ms+ins,30,3,242
reverse,9000,ms+ins,50,1,329
reverse,9000,ms+ins,50,2,334
reverse,9000,ms+ins,50,3,322
nearly,9000,ms,0,1,440
nearly,9000,ms,0,2,417
nearly,9000,ms,0,3,418
nearly,9000,ms+ins,5,1,199
nearly,9000,ms+ins,5,2,208
nearly,9000,ms+ins,5,3,219
nearly,9000,ms+ins,10,1,178
nearly,9000,ms+ins,10,2,173
nearly,9000,ms+ins,10,3,155
nearly,9000,ms+ins,20,1,160
nearly,9000,ms+ins,20,2,167
nearly,9000,ms+ins,20,3,182
nearly,9000,ms+ins,30,1,194
nearly,9000,ms+ins,30,2,179
nearly,9000,ms+ins,30,3,146
nearly,9000,ms+ins,50,1,179
nearly,9000,ms+ins,50,2,170
nearly,9000,ms+ins,50,3,166
random,9500,ms,0,1,860
random,9500,ms,0,2,883
random,9500,ms,0,3,825
random,9500,ms+ins,5,1,689
random,9500,ms+ins,5,2,539
random,9500,ms+ins,5,3,655
random,9500,ms+ins,10,1,581
random,9500,ms+ins,10,2,527
random,9500,ms+ins,10,3,560
random,9500,ms+ins,20,1,603
random,9500,ms+ins,20,2,560
random,9500,ms+ins,20,3,598
random,9500,ms+ins,30,1,618
random,9500,ms+ins,30,2,582
random,9500,ms+ins,30,3,606
random,9500,ms+ins,50,1,680
random,9500,ms+ins,50,2,695
random,9500,ms+ins,50,3,605
reverse,9500,ms,0,1,301
reverse,9500,ms,0,2,300
reverse,9500,ms,0,3,372
reverse,9500,ms+ins,5,1,194
reverse,9500,ms+ins,5,2,209
reverse,9500,ms+ins,5,3,194
reverse,9500,ms+ins,10,1,177
reverse,9500,ms+ins,10,2,150
reverse,9500,ms+ins,10,3,128
reverse,9500,ms+ins,20,1,190
reverse,9500,ms+ins,20,2,177
reverse,9500,ms+ins,20,3,174
reverse,9500,ms+ins,30,1,167
reverse,9500,ms+ins,30,2,214
reverse,9500,ms+ins,30,3,175
reverse,9500,ms+ins,50,1,312
reverse,9500,ms+ins,50,2,304
reverse,9500,ms+ins,50,3,327
nearly,9500,ms,0,1,404
nearly,9500,ms,0,2,406
nearly,9500,ms,0,3,427
nearly,9500,ms+ins,5,1,220
nearly,9500,ms+ins,5,2,231
nearly,9500,ms+ins,5,3,208
nearly,9500,ms+ins,10,1,175
nearly,9500,ms+ins,10,2,176
nearly,9500,ms+ins,10,3,177
nearly,9500,ms+ins,20,1,176
nearly,9500,ms+ins,20,2,159
nearly,9500,ms+ins,20,3,163
nearly,9500,ms+ins,30,1,155
nearly,9500,ms+ins,30,2,147
nearly,9500,ms+ins,30,3,136
nearly,9500,ms+ins,50,1,183
nearly,9500,ms+ins,50,2,181
nearly,9500,ms+ins,50,3,189
random,10000,ms,0,1,752
random,10000,ms,0,2,833
random,10000,ms,0,3,848
random,10000,ms+ins,5,1,557
random,10000,ms+ins,5,2,539
random,10000,ms+ins,5,3,537
random,10000,ms+ins,10,1,605
random,10000,ms+ins,10,2,690
random,10000,ms+ins,10,3,619
random,10000,ms+ins,20,1,662
random,10000,ms+ins,20,2,687
random,10000,ms+ins,20,3,699
random,10000,ms+ins,30,1,628
random,10000,ms+ins,30,2,643
random,10000,ms+ins,30,3,662
random,10000,ms+ins,50,1,736
random,10000,ms+ins,50,2,684
random,10000,ms+ins,50,3,634
reverse,10000,ms,0,1,313
reverse,10000,ms,0,2,339
reverse,10000,ms,0,3,341
reverse,10000,ms+ins,5,1,181
reverse,10000,ms+ins,5,2,171
reverse,10000,ms+ins,5,3,172
reverse,10000,ms+ins,10,1,181
reverse,10000,ms+ins,10,2,217
reverse,10000,ms+ins,10,3,174
reverse,10000,ms+ins,20,1,275
reverse,10000,ms+ins,20,2,227
reverse,10000,ms+ins,20,3,220
reverse,10000,ms+ins,30,1,242
reverse,10000,ms+ins,30,2,238
reverse,10000,ms+ins,30,3,259
reverse,10000,ms+ins,50,1,469
reverse,10000,ms+ins,50,2,383
reverse,10000,ms+ins,50,3,344
nearly,10000,ms,0,1,437
nearly,10000,ms,0,2,402
nearly,10000,ms,0,3,402
nearly,10000,ms+ins,5,1,222
nearly,10000,ms+ins,5,2,222
nearly,10000,ms+ins,5,3,193
nearly,10000,ms+ins,10,1,152
nearly,10000,ms+ins,10,2,169
nearly,10000,ms+ins,10,3,165
nearly,10000,ms+ins,20,1,163
nearly,10000,ms+ins,20,2,142
nearly,10000,ms+ins,20,3,141
nearly,10000,ms+ins,30,1,203
nearly,10000,ms+ins,30,2,171
nearly,10000,ms+ins,30,3,166
nearly,10000,ms+ins,50,1,198
nearly,10000,ms+ins,50,2,184
nearly,10000,ms+ins,50,3,166
random,10500,ms,0,1,923
random,10500,ms,0,2,1045
random,10500,ms,0,3,893
random,10500,ms+ins,5,1,658
random,10500,ms+ins,5,2,601
random,10500,ms+ins,5,3,703
random,10500,ms+ins,10,1,656
random,10500,ms+ins,10,2,685
random,10500,ms+ins,10,3,644
random,10500,ms+ins,20,1,699
random,10500,ms+ins,20,2,694
random,10500,ms+ins,20,3,617
random,10500,ms+ins,30,1,742
random,10500,ms+ins,30,2,701
random,10500,ms+ins,30,3,764
random,10500,ms+ins,50,1,781
random,10500,ms+ins,50,2,745
random,10500,ms+ins,50,3,724
reverse,10500,ms,0,1,352
reverse,10500,ms,0,2,338
reverse,10500,ms,0,3,378
reverse,10500,ms+ins,5,1,175
reverse,10500,ms+ins,5,2,157
reverse,10500,ms+ins,5,3,170
reverse,10500,ms+ins,10,1,165
reverse,10500,ms+ins,10,2,149
reverse,10500,ms+ins,10,3,165
reverse,10500,ms+ins,20,1,243
reverse,10500,ms+ins,20,2,206
reverse,10500,ms+ins,20,3,180
reverse,10500,ms+ins,30,1,229
reverse,10500,ms+ins,30,2,218
reverse,10500,ms+ins,30,3,228
reverse,10500,ms+ins,50,1,362
reverse,10500,ms+ins,50,2,370
reverse,10500,ms+ins,50,3,391
nearly,10500,ms,0,1,469
nearly,10500,ms,0,2,463
nearly,10500,ms,0,3,432
nearly,10500,ms+ins,5,1,241
nearly,10500,ms+ins,5,2,207
nearly,10500,ms+ins,5,3,193
nearly,10500,ms+ins,10,1,167
nearly,10500,ms+ins,10,2,166
nearly,10500,ms+ins,10,3,161
nearly,10500,ms+ins,20,1,158
nearly,10500,ms+ins,20,2,155
nearly,10500,ms+ins,20,3,153
nearly,10500,ms+ins,30,1,155
nearly,10500,ms+ins,30,2,157
nearly,10500,ms+ins,30,3,163
nearly,10500,ms+ins,50,1,208
nearly,10500,ms+ins,50,2,183
nearly,10500,ms+ins,50,3,190
random,11000,ms,0,1,964
random,11000,ms,0,2,854
random,11000,ms,0,3,865
random,11000,ms+ins,5,1,653
random,11000,ms+ins,5,2,676
random,11000,ms+ins,5,3,714
random,11000,ms+ins,10,1,675
random,11000,ms+ins,10,2,600
random,11000,ms+ins,10,3,618
random,11000,ms+ins,20,1,612
random,11000,ms+ins,20,2,653
random,11000,ms+ins,20,3,687
random,11000,ms+ins,30,1,705
random,11000,ms+ins,30,2,628
random,11000,ms+ins,30,3,723
random,11000,ms+ins,50,1,788
random,11000,ms+ins,50,2,860
random,11000,ms+ins,50,3,817
reverse,11000,ms,0,1,404
reverse,11000,ms,0,2,402
reverse,11000,ms,0,3,378
reverse,11000,ms+ins,5,1,209
reverse,11000,ms+ins,5,2,194
reverse,11000,ms+ins,5,3,184
reverse,11000,ms+ins,10,1,183
reverse,11000,ms+ins,10,2,187
reverse,11000,ms+ins,10,3,179
reverse,11000,ms+ins,20,1,180
reverse,11000,ms+ins,20,2,161
reverse,11000,ms+ins,20,3,155
reverse,11000,ms+ins,30,1,265
reverse,11000,ms+ins,30,2,279
reverse,11000,ms+ins,30,3,290
reverse,11000,ms+ins,50,1,442
reverse,11000,ms+ins,50,2,487
reverse,11000,ms+ins,50,3,415
nearly,11000,ms,0,1,499
nearly,11000,ms,0,2,430
nearly,11000,ms,0,3,468
nearly,11000,ms+ins,5,1,240
nearly,11000,ms+ins,5,2,251
nearly,11000,ms+ins,5,3,240
nearly,11000,ms+ins,10,1,215
nearly,11000,ms+ins,10,2,208
nearly,11000,ms+ins,10,3,218
nearly,11000,ms+ins,20,1,191
nearly,11000,ms+ins,20,2,186
nearly,11000,ms+ins,20,3,164
nearly,11000,ms+ins,30,1,186
nearly,11000,ms+ins,30,2,190
nearly,11000,ms+ins,30,3,192
nearly,11000,ms+ins,50,1,269
nearly,11000,ms+ins,50,2,238
nearly,11000,ms+ins,50,3,228
random,11500,ms,0,1,941
random,11500,ms,0,2,897
random,11500,ms,0,3,930
random,11500,ms+ins,5,1,816
random,11500,ms+ins,5,2,802
random,11500,ms+ins,5,3,711
random,11500,ms+ins,10,1,685
random,11500,ms+ins,10,2,766
random,11500,ms+ins,10,3,769
random,11500,ms+ins,20,1,810
random,11500,ms+ins,20,2,735
random,11500,ms+ins,20,3,664
random,11500,ms+ins,30,1,720
random,11500,ms+ins,30,2,779
random,11500,ms+ins,30,3,722
random,11500,ms+ins,50,1,797
random,11500,ms+ins,50,2,846
random,11500,ms+ins,50,3,814
reverse,11500,ms,0,1,394
reverse,11500,ms,0,2,424
reverse,11500,ms,0,3,406
reverse,11500,ms+ins,5,1,242
reverse,11500,ms+ins,5,2,239
reverse,11500,ms+ins,5,3,223
reverse,11500,ms+ins,10,1,189
reverse,11500,ms+ins,10,2,166
reverse,11500,ms+ins,10,3,163
reverse,11500,ms+ins,20,1,182
reverse,11500,ms+ins,20,2,158
reverse,11500,ms+ins,20,3,173
reverse,11500,ms+ins,30,1,319
reverse,11500,ms+ins,30,2,279
reverse,11500,ms+ins,30,3,250
reverse,11500,ms+ins,50,1,434
reverse,11500,ms+ins,50,2,446
reverse,11500,ms+ins,50,3,475
nearly,11500,ms,0,1,531
nearly,11500,ms,0,2,442
nearly,11500,ms,0,3,437
nearly,11500,ms+ins,5,1,277
nearly,11500,ms+ins,5,2,301
nearly,11500,ms+ins,5,3,282
nearly,11500,ms+ins,10,1,222
nearly,11500,ms+ins,10,2,209
nearly,11500,ms+ins,10,3,213
nearly,11500,ms+ins,20,1,198
nearly,11500,ms+ins,20,2,196
nearly,11500,ms+ins,20,3,198
nearly,11500,ms+ins,30,1,215
nearly,11500,ms+ins,30,2,219
nearly,11500,ms+ins,30,3,222
nearly,11500,ms+ins,50,1,317
nearly,11500,ms+ins,50,2,274
nearly,11500,ms+ins,50,3,320
random,12000,ms,0,1,1213
random,12000,ms,0,2,966
random,12000,ms,0,3,1018
random,12000,ms+ins,5,1,747
random,12000,ms+ins,5,2,729
random,12000,ms+ins,5,3,763
random,12000,ms+ins,10,1,699
random,12000,ms+ins,10,2,730
random,12000,ms+ins,10,3,768
random,12000,ms+ins,20,1,783
random,12000,ms+ins,20,2,694
random,12000,ms+ins,20,3,662
random,12000,ms+ins,30,1,826
random,12000,ms+ins,30,2,858
random,12000,ms+ins,30,3,789
random,12000,ms+ins,50,1,853
random,12000,ms+ins,50,2,835
random,12000,ms+ins,50,3,799
reverse,12000,ms,0,1,421
reverse,12000,ms,0,2,432
reverse,12000,ms,0,3,464
reverse,12000,ms+ins,5,1,248
reverse,12000,ms+ins,5,2,216
reverse,12000,ms+ins,5,3,207
reverse,12000,ms+ins,10,1,190
reverse,12000,ms+ins,10,2,180
reverse,12000,ms+ins,10,3,171
reverse,12000,ms+ins,20,1,189
reverse,12000,ms+ins,20,2,172
reverse,12000,ms+ins,20,3,183
reverse,12000,ms+ins,30,1,319
reverse,12000,ms+ins,30,2,279
reverse,12000,ms+ins,30,3,303
reverse,12000,ms+ins,50,1,525
reverse,12000,ms+ins,50,2,513
reverse,12000,ms+ins,50,3,475
nearly,12000,ms,0,1,456
nearly,12000,ms,0,2,475
nearly,12000,ms,0,3,476
nearly,12000,ms+ins,5,1,298
nearly,12000,ms+ins,5,2,268
nearly,12000,ms+ins,5,3,272
nearly,12000,ms+ins,10,1,250
nearly,12000,ms+ins,10,2,241
nearly,12000,ms+ins,10,3,239
nearly,12000,ms+ins,20,1,213
nearly,12000,ms+ins,20,2,248
nearly,12000,ms+ins,20,3,233
nearly,12000,ms+ins,30,1,229
nearly,12000,ms+ins,30,2,219
nearly,12000,ms+ins,30,3,218
nearly,12000,ms+ins,50,1,279
nearly,12000,ms+ins,50,2,237
nearly,12000,ms+ins,50,3,225
random,12500,ms,0,1,928
random,12500,ms,0,2,957
random,12500,ms,0,3,1066
random,12500,ms+ins,5,1,797
random,12500,ms+ins,5,2,805
random,12500,ms+ins,5,3,821
random,12500,ms+ins,10,1,811
random,12500,ms+ins,10,2,730
random,12500,ms+ins,10,3,821
random,12500,ms+ins,20,1,753
random,12500,ms+ins,20,2,683
random,12500,ms+ins,20,3,743
random,12500,ms+ins,30,1,818
random,12500,ms+ins,30,2,869
random,12500,ms+ins,30,3,772
random,12500,ms+ins,50,1,908
random,12500,ms+ins,50,2,896
random,12500,ms+ins,50,3,976
reverse,12500,ms,0,1,457
reverse,12500,ms,0,2,428
reverse,12500,ms,0,3,395
reverse,12500,ms+ins,5,1,227
reverse,12500,ms+ins,5,2,218
reverse,12500,ms+ins,5,3,218
reverse,12500,ms+ins,10,1,188
reverse,12500,ms+ins,10,2,175
reverse,12500,ms+ins,10,3,189
reverse,12500,ms+ins,20,1,207
reverse,12500,ms+ins,20,2,196
reverse,12500,ms+ins,20,3,193
reverse,12500,ms+ins,30,1,333
reverse,12500,ms+ins,30,2,330
reverse,12500,ms+ins,30,3,325
reverse,12500,ms+ins,50,1,487
reverse,12500,ms+ins,50,2,450
reverse,12500,ms+ins,50,3,498
nearly,12500,ms,0,1,483
nearly,12500,ms,0,2,517
nearly,12500,ms,0,3,446
nearly,12500,ms+ins,5,1,296
nearly,12500,ms+ins,5,2,337
nearly,12500,ms+ins,5,3,331
nearly,12500,ms+ins,10,1,280
nearly,12500,ms+ins,10,2,265
nearly,12500,ms+ins,10,3,258
nearly,12500,ms+ins,20,1,206
nearly,12500,ms+ins,20,2,198
nearly,12500,ms+ins,20,3,202
nearly,12500,ms+ins,30,1,206
nearly,12500,ms+ins,30,2,190
nearly,12500,ms+ins,30,3,188
nearly,12500,ms+ins,50,1,274
nearly,12500,ms+ins,50,2,286
nearly,12500,ms+ins,50,3,272
random,13000,ms,0,1,1057
random,13000,ms,0,2,1122
random,13000,ms,0,3,1080
random,13000,ms+ins,5,1,878
random,13000,ms+ins,5,2,916
random,13000,ms+ins,5,3,939
random,13000,ms+ins,10,1,886
random,13000,ms+ins,10,2,753
random,13000,ms+ins,10,3,746
random,13000,ms+ins,20,1,810
random,13000,ms+ins,20,2,823
random,13000,ms+ins,20,3,738
random,13000,ms+ins,30,1,813
random,13000,ms+ins,30,2,841
random,13000,ms+ins,30,3,812
random,13000,ms+ins,50,1,953
random,13000,ms+ins,50,2,863
random,13000,ms+ins,50,3,840
reverse,13000,ms,0,1,424
reverse,13000,ms,0,2,441
reverse,13000,ms,0,3,430
reverse,13000,ms+ins,5,1,277
reverse,13000,ms+ins,5,2,277
reverse,13000,ms+ins,5,3,267
reverse,13000,ms+ins,10,1,216
reverse,13000,ms+ins,10,2,213
reverse,13000,ms+ins,10,3,193
reverse,13000,ms+ins,20,1,218
reverse,13000,ms+ins,20,2,209
reverse,13000,ms+ins,20,3,223
reverse,13000,ms+ins,30,1,348
reverse,13000,ms+ins,30,2,338
reverse,13000,ms+ins,30,3,332
reverse,13000,ms+ins,50,1,365
reverse,13000,ms+ins,50,2,357
reverse,13000,ms+ins,50,3,376
nearly,13000,ms,0,1,548
nearly,13000,ms,0,2,591
nearly,13000,ms,0,3,582
nearly,13000,ms+ins,5,1,362
nearly,13000,ms+ins,5,2,335
nearly,13000,ms+ins,5,3,333
nearly,13000,ms+ins,10,1,273
nearly,13000,ms+ins,10,2,262
nearly,13000,ms+ins,10,3,243
nearly,13000,ms+ins,20,1,213
nearly,13000,ms+ins,20,2,237
nearly,13000,ms+ins,20,3,234
nearly,13000,ms+ins,30,1,215
nearly,13000,ms+ins,30,2,222
nearly,13000,ms+ins,30,3,234
nearly,13000,ms+ins,50,1,262
nearly,13000,ms+ins,50,2,228
nearly,13000,ms+ins,50,3,213
random,13500,ms,0,1,1101
random,13500,ms,0,2,1117
random,13500,ms,0,3,1154
random,13500,ms+ins,5,1,975
random,13500,ms+ins,5,2,835
random,13500,ms+ins,5,3,862
random,13500,ms+ins,10,1,781
random,13500,ms+ins,10,2,879
random,13500,ms+ins,10,3,825
random,13500,ms+ins,20,1,909
random,13500,ms+ins,20,2,894
random,13500,ms+ins,20,3,929
random,13500,ms+ins,30,1,963
random,13500,ms+ins,30,2,1057
random,13500,ms+ins,30,3,955
random,13500,ms+ins,50,1,897
random,13500,ms+ins,50,2,988
random,13500,ms+ins,50,3,924
reverse,13500,ms,0,1,432
reverse,13500,ms,0,2,451
reverse,13500,ms,0,3,444
reverse,13500,ms+ins,5,1,247
reverse,13500,ms+ins,5,2,247
reverse,13500,ms+ins,5,3,272
reverse,13500,ms+ins,10,1,241
reverse,13500,ms+ins,10,2,235
reverse,13500,ms+ins,10,3,226
reverse,13500,ms+ins,20,1,296
reverse,13500,ms+ins,20,2,275
reverse,13500,ms+ins,20,3,275
reverse,13500,ms+ins,30,1,444
reverse,13500,ms+ins,30,2,364
reverse,13500,ms+ins,30,3,364
reverse,13500,ms+ins,50,1,390
reverse,13500,ms+ins,50,2,384
reverse,13500,ms+ins,50,3,371
nearly,13500,ms,0,1,527
nearly,13500,ms,0,2,565
nearly,13500,ms,0,3,528
nearly,13500,ms+ins,5,1,328
nearly,13500,ms+ins,5,2,328
nearly,13500,ms+ins,5,3,315
nearly,13500,ms+ins,10,1,258
nearly,13500,ms+ins,10,2,247
nearly,13500,ms+ins,10,3,250
nearly,13500,ms+ins,20,1,214
nearly,13500,ms+ins,20,2,214
nearly,13500,ms+ins,20,3,222
nearly,13500,ms+ins,30,1,231
nearly,13500,ms+ins,30,2,229
nearly,13500,ms+ins,30,3,249
nearly,13500,ms+ins,50,1,246
nearly,13500,ms+ins,50,2,258
nearly,13500,ms+ins,50,3,244
random,14000,ms,0,1,1210
random,14000,ms,0,2,1110
random,14000,ms,0,3,1073
random,14000,ms+ins,5,1,966
random,14000,ms+ins,5,2,851
random,14000,ms+ins,5,3,906
random,14000,ms+ins,10,1,911
random,14000,ms+ins,10,2,977
random,14000,ms+ins,10,3,936
random,14000,ms+ins,20,1,967
random,14000,ms+ins,20,2,968
random,14000,ms+ins,20,3,1051
random,14000,ms+ins,30,1,955
random,14000,ms+ins,30,2,1004
random,14000,ms+ins,30,3,1023
random,14000,ms+ins,50,1,996
random,14000,ms+ins,50,2,1114
random,14000,ms+ins,50,3,1052
reverse,14000,ms,0,1,452
reverse,14000,ms,0,2,417
reverse,14000,ms,0,3,439
reverse,14000,ms+ins,5,1,259
reverse,14000,ms+ins,5,2,249
reverse,14000,ms+ins,5,3,268
reverse,14000,ms+ins,10,1,246
reverse,14000,ms+ins,10,2,237
reverse,14000,ms+ins,10,3,213
reverse,14000,ms+ins,20,1,266
reverse,14000,ms+ins,20,2,260
reverse,14000,ms+ins,20,3,238
reverse,14000,ms+ins,30,1,406
reverse,14000,ms+ins,30,2,388
reverse,14000,ms+ins,30,3,381
reverse,14000,ms+ins,50,1,407
reverse,14000,ms+ins,50,2,395
reverse,14000,ms+ins,50,3,414
nearly,14000,ms,0,1,666
nearly,14000,ms,0,2,620
nearly,14000,ms,0,3,596
nearly,14000,ms+ins,5,1,362
nearly,14000,ms+ins,5,2,361
nearly,14000,ms+ins,5,3,352
nearly,14000,ms+ins,10,1,287
nearly,14000,ms+ins,10,2,282
nearly,14000,ms+ins,10,3,268
nearly,14000,ms+ins,20,1,244
nearly,14000,ms+ins,20,2,270
nearly,14000,ms+ins,20,3,253
nearly,14000,ms+ins,30,1,274
nearly,14000,ms+ins,30,2,241
nearly,14000,ms+ins,30,3,223
nearly,14000,ms+ins,50,1,222
nearly,14000,ms+ins,50,2,217
nearly,14000,ms+ins,50,3,226
random,14500,ms,0,1,1294
random,14500,ms,0,2,1441
random,14500,ms,0,3,1369
random,14500,ms+ins,5,1,894
random,14500,ms+ins,5,2,950
random,14500,ms+ins,5,3,1186
random,14500,ms+ins,10,1,992
random,14500,ms+ins,10,2,984
random,14500,ms+ins,10,3,937
random,14500,ms+ins,20,1,1110
random,14500,ms+ins,20,2,1030
random,14500,ms+ins,20,3,860
random,14500,ms+ins,30,1,1014
random,14500,ms+ins,30,2,939
random,14500,ms+ins,30,3,1050
random,14500,ms+ins,50,1,958
random,14500,ms+ins,50,2,998
random,14500,ms+ins,50,3,1022
reverse,14500,ms,0,1,520
reverse,14500,ms,0,2,555
reverse,14500,ms,0,3,516
reverse,14500,ms+ins,5,1,298
reverse,14500,ms+ins,5,2,318
reverse,14500,ms+ins,5,3,383
reverse,14500,ms+ins,10,1,266
reverse,14500,ms+ins,10,2,225
reverse,14500,ms+ins,10,3,236
reverse,14500,ms+ins,20,1,311
reverse,14500,ms+ins,20,2,266
reverse,14500,ms+ins,20,3,280
reverse,14500,ms+ins,30,1,477
reverse,14500,ms+ins,30,2,445
reverse,14500,ms+ins,30,3,387
reverse,14500,ms+ins,50,1,416
reverse,14500,ms+ins,50,2,443
reverse,14500,ms+ins,50,3,442
nearly,14500,ms,0,1,720
nearly,14500,ms,0,2,640
nearly,14500,ms,0,3,715
nearly,14500,ms+ins,5,1,408
nearly,14500,ms+ins,5,2,387
nearly,14500,ms+ins,5,3,355
nearly,14500,ms+ins,10,1,255
nearly,14500,ms+ins,10,2,251
nearly,14500,ms+ins,10,3,243
nearly,14500,ms+ins,20,1,240
nearly,14500,ms+ins,20,2,277
nearly,14500,ms+ins,20,3,316
nearly,14500,ms+ins,30,1,259
nearly,14500,ms+ins,30,2,262
nearly,14500,ms+ins,30,3,250
