rect,N,estimate,rel_error,rect_area,exact_area
large,8100,0.9350054209,0.0100705050,9.7221359550,0.9445171859
small,8600,0.9398883721,0.0049007195,1.9600000000,0.9445171859
large,8600,0.9303858013,0.0149614902,9.7221359550,0.9445171859
small,9100,0.9291692308,0.0162495245,1.9600000000,0.9445171859
large,9100,0.9444360642,0.0000858869,9.7221359550,0.9445171859
small,9600,0.9563166667,0.0124926057,1.9600000000,0.9445171859
large,9600,0.9863917104,0.0443343172,9.7221359550,0.9445171859
small,10100,0.9491445545,0.0048991894,1.9600000000,0.9445171859
large,10100,0.9712510078,0.0283042196,9.7221359550,0.9445171859
small,10600,0.9311849057,0.0141154448,1.9600000000,0.9445171859
large,10600,0.8960874366,0.0512746089,9.7221359550,0.9445171859
small,11100,0.9347963964,0.0102918080,1.9600000000,0.9445171859
large,11100,1.0011172429,0.0599248567,9.7221359550,0.9445171859
small,11600,0.9546551724,0.0107335120,1.9600000000,0.9445171859
large,11600,0.9085168427,0.0381150748,9.7221359550,0.9445171859
small,12100,0.9403140496,0.0044500369,1.9600000000,0.9445171859
large,12100,0.9448951969,0.0004002162,9.7221359550,0.9445171859
small,12600,0.9457777778,0.0013346415,1.9600000000,0.9445171859
large,12600,0.9344052890,0.0107058898,9.7221359550,0.9445171859
small,13100,0.9405007634,0.0042523552,1.9600000000,0.9445171859
large,13100,0.9365905019,0.0083923131,9.7221359550,0.9445171859
small,13600,0.9422411765,0.0024097067,1.9600000000,0.9445171859
large,13600,0.8942935353,0.0531738875,9.7221359550,0.9445171859
small,14100,0.9437191489,0.0008449152,1.9600000000,0.9445171859
large,14100,0.9046413030,0.0422182714,9.7221359550,0.9445171859
small,14600,0.9493917808,0.0051609383,1.9600000000,0.9445171859
large,14600,0.9282642138,0.0172077040,9.7221359550,0.9445171859
small,15100,0.9546887417,0.0107690532,1.9600000000,0.9445171859
large,15100,0.9335825917,0.0115769140,9.7221359550,0.9445171859
small,15600,0.9487153846,0.0044448092,1.9600000000,0.9445171859
large,15600,0.9684743124,0.0253644157,9.7221359550,0.9445171859
small,16100,0.9472521739,0.0028956466,1.9600000000,0.9445171859
large,16100,0.9450399236,0.0005534443,9.7221359550,0.9445171859
small,16600,0.9346602410,0.0104359614,1.9600000000,0.9445171859
large,16600,0.9388303576,0.0060208839,9.7221359550,0.9445171859
small,17100,0.9406853801,0.0040568937,1.9600000000,0.9445171859
large,17100,0.9221815508,0.0236476746,9.7221359550,0.9445171859
small,17600,0.9511568182,0.0070296575,1.9600000000,0.9445171859
large,17600,0.9318888271,0.0133701737,9.7221359550,0.9445171859
small,18100,0.9376596685,0.0072603416,1.9600000000,0.9445171859
large,18100,0.9201115409,0.0258392810,9.7221359550,0.9445171859
small,18600,0.9515483871,0.0074442279,1.9600000000,0.9445171859
large,18600,0.9513057762,0.0071873656,9.7221359550,0.9445171859
small,19100,0.9480858639,0.0037783092,1.9600000000,0.9445171859
large,19100,0.9895200155,0.0476463852,9.7221359550,0.9445171859
small,19600,0.9497000000,0.0054872629,1.9600000000,0.9445171859
large,19600,0.9345155173,0.0105891865,9.7221359550,0.9445171859
small,20100,0.9423601990,0.0022836926,1.9600000000,0.9445171859
large,20100,0.9470618010,0.0026940908,9.7221359550,0.9445171859
small,20600,0.9466038835,0.0022092744,1.9600000000,0.9445171859
large,20600,0.9297382442,0.0156470860,9.7221359550,0.9445171859
small,21100,0.9412644550,0.0034438028,1.9600000000,0.9445171859
large,21100,0.9233725334,0.0223867314,9.7221359550,0.9445171859
small,21600,0.9365351852,0.0084508793,1.9600000000,0.9445171859
large,21600,0.9285540035,0.0169008914,9.7221359550,0.9445171859
small,22100,0.9455004525,0.0010410256,1.9600000000,0.9445171859
large,22100,0.9313014397,0.0139920654,9.7221359550,0.9445171859
small,22600,0.9393256637,0.0054964825,1.9600000000,0.9445171859
large,22600,0.9451120661,0.0006298246,9.7221359550,0.9445171859
small,23100,0.9406303030,0.0041152061,1.9600000000,0.9445171859
large,23100,0.9532743696,0.0092715981,9.7221359550,0.9445171859
small,23600,0.9371457627,0.0078044352,1.9600000000,0.9445171859
large,23600,0.9429647967,0.0016435797,9.7221359550,0.9445171859
small,24100,0.9484448133,0.0041583440,1.9600000000,0.9445171859
large,24100,0.9383273125,0.0065534788,9.7221359550,0.9445171859
small,24600,0.9334699187,0.0116962056,1.9600000000,0.9445171859
large,24600,0.9370400142,0.0079163956,9.7221359550,0.9445171859
small,25100,0.9497019920,0.0054893719,1.9600000000,0.9445171859
large,25100,0.9094651483,0.0371110639,9.7221359550,0.9445171859
small,25600,0.9552703125,0.0113847866,1.9600000000,0.9445171859
large,25600,0.9532250487,0.0092193800,9.7221359550,0.9445171859
small,26100,0.9552183908,0.0113298149,1.9600000000,0.9445171859
large,26100,0.9312390761,0.0140580923,9.7221359550,0.9445171859
small,26600,0.9513368421,0.0072202563,1.9600000000,0.9445171859
large,26600,0.9173895206,0.0287211982,9.7221359550,0.9445171859
small,27100,0.9415232472,0.0031698086,1.9600000000,0.9445171859
